"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 17 03:48:39 UTC 2023","Tue Oct 17 03:48:45 UTC 2023","5838","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Oct 17 02:38:22 UTC 2023","Tue Oct 17 02:38:44 UTC 2023","21230","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Tue Oct 17 03:10:02 UTC 2023","Tue Oct 17 03:10:28 UTC 2023","26159","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Oct 17 02:29:25 UTC 2023","Tue Oct 17 02:29:49 UTC 2023","23257","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 17 03:48:56 UTC 2023","Tue Oct 17 03:48:57 UTC 2023","1082","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Tue Oct 17 03:09:32 UTC 2023","Tue Oct 17 03:09:50 UTC 2023","17557","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Oct 17 03:46:09 UTC 2023","Tue Oct 17 03:46:12 UTC 2023","2613","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Oct 17 02:54:07 UTC 2023","Tue Oct 17 02:54:25 UTC 2023","17706","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Oct 17 03:30:28 UTC 2023","Tue Oct 17 03:30:31 UTC 2023","3481","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Oct 17 03:48:57 UTC 2023","Tue Oct 17 03:48:58 UTC 2023","968","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Oct 17 03:57:36 UTC 2023","Tue Oct 17 03:57:40 UTC 2023","3261","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Oct 17 02:42:05 UTC 2023","Tue Oct 17 02:42:25 UTC 2023","20266","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 17 02:25:32 UTC 2023","Tue Oct 17 02:26:37 UTC 2023","64434","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Oct 17 02:21:42 UTC 2023","Tue Oct 17 02:22:09 UTC 2023","27065","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Tue Oct 17 02:35:56 UTC 2023","Tue Oct 17 02:36:05 UTC 2023","8785","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Oct 17 02:55:17 UTC 2023","Tue Oct 17 02:55:31 UTC 2023","13708","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Oct 17 03:14:22 UTC 2023","Tue Oct 17 03:14:44 UTC 2023","22296","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Oct 17 02:22:41 UTC 2023","Tue Oct 17 02:23:02 UTC 2023","21320","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Tue Oct 17 03:16:42 UTC 2023","Tue Oct 17 03:17:01 UTC 2023","18428","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Tue Oct 17 03:30:25 UTC 2023","Tue Oct 17 03:30:28 UTC 2023","3066","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue Oct 17 03:14:19 UTC 2023","Tue Oct 17 03:14:21 UTC 2023","2231","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Oct 17 03:48:45 UTC 2023","Tue Oct 17 03:48:45 UTC 2023","393","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Oct 17 04:08:28 UTC 2023","Tue Oct 17 04:08:30 UTC 2023","2374","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Oct 17 03:57:25 UTC 2023","Tue Oct 17 03:57:36 UTC 2023","10761","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Oct 17 03:37:05 UTC 2023","Tue Oct 17 03:41:51 UTC 2023","286042","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Oct 17 03:57:40 UTC 2023","Tue Oct 17 03:58:29 UTC 2023","49297","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Oct 17 02:32:00 UTC 2023","Tue Oct 17 02:32:11 UTC 2023","10231","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Oct 17 02:55:33 UTC 2023","Tue Oct 17 02:55:34 UTC 2023","670","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Oct 17 03:23:05 UTC 2023","Tue Oct 17 03:23:31 UTC 2023","26110","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Oct 17 02:30:16 UTC 2023","Tue Oct 17 02:30:22 UTC 2023","6317","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Oct 17 03:09:50 UTC 2023","Tue Oct 17 03:09:50 UTC 2023","328","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue Oct 17 03:48:45 UTC 2023","Tue Oct 17 03:48:54 UTC 2023","8149","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Oct 17 02:51:26 UTC 2023","Tue Oct 17 02:51:27 UTC 2023","1246","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 17 03:17:07 UTC 2023","Tue Oct 17 03:17:09 UTC 2023","1449","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Oct 17 03:53:39 UTC 2023","Tue Oct 17 03:54:01 UTC 2023","21646","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Oct 17 03:23:03 UTC 2023","Tue Oct 17 03:23:05 UTC 2023","1332","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Oct 17 03:30:59 UTC 2023","Tue Oct 17 03:31:08 UTC 2023","9613","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Oct 17 03:54:01 UTC 2023","Tue Oct 17 03:54:12 UTC 2023","11028","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Oct 17 02:24:05 UTC 2023","Tue Oct 17 02:24:07 UTC 2023","2574","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Oct 17 02:35:25 UTC 2023","Tue Oct 17 02:35:56 UTC 2023","30703","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 17 04:08:42 UTC 2023","Tue Oct 17 04:09:13 UTC 2023","31863","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Oct 17 02:45:11 UTC 2023","Tue Oct 17 02:45:15 UTC 2023","3488","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 17 03:27:26 UTC 2023","Tue Oct 17 03:28:13 UTC 2023","46980","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Oct 17 03:48:24 UTC 2023","Tue Oct 17 03:48:39 UTC 2023","15596","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Tue Oct 17 02:29:58 UTC 2023","Tue Oct 17 02:30:16 UTC 2023","17281","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 17 03:30:06 UTC 2023","Tue Oct 17 03:30:20 UTC 2023","13891","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Oct 17 02:38:47 UTC 2023","Tue Oct 17 02:38:48 UTC 2023","846","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Oct 17 02:51:04 UTC 2023","Tue Oct 17 02:51:08 UTC 2023","3997","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 17 03:55:50 UTC 2023","Tue Oct 17 03:57:19 UTC 2023","89119","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Oct 17 04:08:30 UTC 2023","Tue Oct 17 04:08:32 UTC 2023","1649","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Oct 17 04:08:32 UTC 2023","Tue Oct 17 04:08:41 UTC 2023","9626","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Tue Oct 17 02:21:32 UTC 2023","Tue Oct 17 02:21:32 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Oct 17 02:51:49 UTC 2023","Tue Oct 17 02:51:50 UTC 2023","682","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Oct 17 02:42:38 UTC 2023","Tue Oct 17 02:43:06 UTC 2023","28820","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 17 03:54:15 UTC 2023","Tue Oct 17 03:54:52 UTC 2023","36406","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Oct 17 03:31:08 UTC 2023","Tue Oct 17 03:31:11 UTC 2023","2412","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Oct 17 03:50:47 UTC 2023","Tue Oct 17 03:51:00 UTC 2023","12842","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Oct 17 03:55:47 UTC 2023","Tue Oct 17 03:55:50 UTC 2023","2672","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Tue Oct 17 03:54:12 UTC 2023","Tue Oct 17 03:54:12 UTC 2023","29","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Tue Oct 17 03:10:28 UTC 2023","Tue Oct 17 03:10:30 UTC 2023","2258","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Oct 17 03:03:37 UTC 2023","Tue Oct 17 03:03:57 UTC 2023","19564","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Oct 17 02:42:35 UTC 2023","Tue Oct 17 02:42:38 UTC 2023","2510","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 17 02:47:23 UTC 2023","Tue Oct 17 02:47:25 UTC 2023","1890","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Oct 17 02:25:25 UTC 2023","Tue Oct 17 02:25:32 UTC 2023","6938","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Oct 17 03:30:38 UTC 2023","Tue Oct 17 03:30:43 UTC 2023","4751","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Oct 17 02:50:51 UTC 2023","Tue Oct 17 02:50:53 UTC 2023","1946","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 17 02:21:32 UTC 2023","Tue Oct 17 02:21:42 UTC 2023","9485","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
